Player,No.,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional
Derrick Pouliot,51,ca CA,D,23,1-Jun,204,L/-,2,January 16 1994,0 G 0 A 0 P,poulide01
Carter Rowney,37,ca CA,RW,27,1-Jun,208,R/-,R,May 10 1989,3 G 4 A 7 P,rowneca01
Chad Ruhwedel,2,us US,D,26,11-May,189,R/-,4,May 7 1990,2 G 8 A 10 P,ruhwech01
Bryan Rust,17,us US,RW,24,11-May,192,R/-,2,May 11 1992,15 G 13 A 28 P,rustbr01
Justin Schultz,4,ca CA,D,26,2-Jun,190,R/-,4,July 6 1990,12 G 39 A 51 P,schulju01
Tom Sestito,25,us US,LW,29,5-Jun,228,L/-,8,September 28 1987,0 G 2 A 2 P,sestito01
Conor Sheary,43,us US,LW,24,8-May,182,L/-,1,June 8 1992,23 G 30 A 53 P,shearco01
Dominik Simon,49,cz CZ,C,22,11-May,190,L/-,1,August 8 1994,0 G 1 A 1 P,simondo01
Mark Streit,32,ch CH,D,39,11-May,186,L/-,10,December 11 1977,1 G 5 A 6 P,streima01
Oskar Sundqvist,40,se SE,C,22,3-Jun,220,R/-,1,March 23 1994,0 G 0 A 0 P,sundqos01
David Warsofsky,5,us US,D,26,9-May,170,L/-,3,May 30 1990,0 G 1 A 1 P,warsoda01
Scott Wilson,23,ca CA,LW,24,11-May,177,L/-,2,April 24 1992,8 G 18 A 26 P,wilsosc01
Ben Bishop,30,us US,G,30,7-Jun,210,-/L,7,November 21 1986,16-12-3 2.55 GAA,bishobe01
Michael Bournival,15,ca CA,LW,24,11-May,198,L/-,2,May 31 1992,2 G 1 A 3 P,bournmi01
Brian Boyle,11,us US,C,32,6-Jun,245,L/-,9,December 18 1984,13 G 9 A 22 P,boylebr01
J.T. Brown,23,us US,RW,26,10-May,166,R/-,4,July 2 1990,3 G 3 A 6 P,brownjt01
Peter Budaj,31,cs CS,G,34,1-Jun,196,-/L,10,September 18 1982,3-1-0 2.80 GAA,budajpe01
Ryan Callahan,24,us US,RW,31,10-May,187,R/-,10,March 21 1985,2 G 2 A 4 P,callary01
Braydon Coburn,55,ca CA,D,31,5-Jun,224,L/-,11,February 27 1985,5 G 7 A 12 P,coburbr01
Cory Conacher,19,ca CA,LW,27,8-May,185,L/-,3,December 14 1989,1 G 3 A 4 P,conacco01
Erik Condra,22,us US,RW,30,11-May,185,R/-,6,August 6 1986,0 G 0 A 0 P,condrer01
Jake Dotchin,59,ca CA,D,22,3-Jun,210,R/-,R,March 24 1994,0 G 11 A 11 P,dotchja01
Jonathan Drouin,27,ca CA,LW,21,11-May,198,L/-,2,March 28 1995,21 G 32 A 53 P,drouijo01
Gabriel Dumont,61,ca CA,C,26,10-May,195,R/-,4,October 6 1990,2 G 2 A 4 P,dumonga01
Adam Erne,73,us US,LW,21,1-Jun,212,L/-,R,April 20 1995,3 G 0 A 3 P,ernead01
Valtteri Filppula,51,fi FI,C,32,Jun-00,189,L/-,11,March 20 1984,7 G 27 A 34 P,filppva01
Byron Froese,78,ca CA,C,25,1-Jun,202,R/-,1,March 12 1991,0 G 0 A 0 P,froesby01
Jason Garrison,5,ca CA,D,32,1-Jun,218,L/-,8,November 13 1984,1 G 8 A 9 P,garrija01
Yanni Gourde,65,ca CA,C,25,9-May,174,L/-,1,December 15 1991,6 G 2 A 8 P,gourdya01
Kristers Gudlevskis,50,lv LV,G,24,3-Jun,214,-/-,2,July 31 1992,0-0-0 0.00 GAA,gudlekr01
Victor Hedman,77,se SE,D,26,7-Jun,245,L/-,7,December 18 1990,16 G 56 A 72 P,hedmavi01
Tyler Johnson,9,us US,C,26,8-May,185,R/-,4,July 29 1990,19 G 26 A 45 P,johnsty01
Alex Killorn,17,ca CA,LW,27,1-Jun,194,L/-,4,September 14 1989,19 G 17 A 36 P,killoal01
Slater Koekkoek,29,ca CA,D,22,2-Jun,193,L/-,2,February 18 1994,0 G 4 A 4 P,koekksl01
Nikita Kucherov,86,ru RU,RW,23,Jun-00,180,L/-,3,June 17 1993,40 G 45 A 85 P,kucheni01
Greg McKegg,33,ca CA,C,24,Jun-00,194,L/-,3,June 17 1992,0 G 1 A 1 P,mckeggr01
Vladislav Namestnikov,90,ru RU,C,24,Jun-00,181,L/-,3,November 22 1992,10 G 18 A 28 P,namesvl01
Nikita Nesterov,89,ru RU,D,23,Jun-00,183,L/-,2,March 28 1993,3 G 9 A 12 P,nesteni01
Ondřej Palát,18,cs CS,LW,25,Jun-00,194,L/-,4,March 28 1991,17 G 35 A 52 P,palaton01
Cédric Paquette,13,ca CA,C,23,Jun-00,204,L/-,3,August 13 1993,4 G 6 A 10 P,paquece01
Matthew Peca,63,ca CA,C,23,8-May,182,L/-,R,April 27 1993,1 G 1 A 2 P,pecama01
Brayden Point,21,ca CA,C,20,11-May,175,R/-,R,March 13 1996,18 G 22 A 40 P,pointbr01
Tanner Richard,38,ca CA,C,23,Jun-00,192,L/-,R,April 6 1993,0 G 0 A 0 P,richata01
Steven Stamkos (C),91,ca CA,C,26,1-Jun,193,R/-,8,February 7 1990,9 G 11 A 20 P,stamkst01
Anton Strålman,6,se SE,D,30,11-May,186,R/-,9,August 1 1986,5 G 17 A 22 P,stralan01
Andrej Šustr,62,cs CS,D,26,7-Jun,217,R/-,4,November 29 1990,3 G 11 A 14 P,sustran01
Andrei Vasilevskiy,88,ru RU,G,22,4-Jun,228,-/L,2,July 25 1994,23-17-7 2.61 GAA,vasilan02
Joel Vermin,92,ch CH,RW,24,11-May,192,L/-,1,February 5 1992,0 G 3 A 3 P,vermijo01
Luke Witkowski,28,us US,D,26,2-Jun,210,R/-,2,April 14 1990,0 G 4 A 4 P,witkolu01
Pontus Åberg,46,se SE,LW,23,Jun-00,194,R/-,R,September 23 1993,1 G 1 A 2 P,abergpo01
Viktor Arvidsson,38,se SE,LW,23,10-May,185,R/-,2,April 8 1993,31 G 30 A 61 P,arvidvi01
Cody Bass,16,ca CA,C,30,Jun-00,205,R/-,6,January 7 1987,0 G 0 A 0 P,bassco01
Anthony Bitetto,2,us US,D,26,1-Jun,210,L/-,2,July 15 1990,0 G 7 A 7 P,bitetan01
Reid Boucher,11,us US,C,23,10-May,195,L/-,3,September 8 1993,1 G 0 A 1 P,bouchre01
Matt Carle,25,us US,D,32,Jun-00,197,L/-,11,September 25 1984,0 G 1 A 1 P,carlema01
Alexandre Carrier,73,ca CA,D,20,11-May,174,R/-,R,October 8 1996,0 G 0 A 0 P,carrial01
Mattias Ekholm,14,se SE,D,26,4-Jun,215,L/-,5,May 24 1990,3 G 20 A 23 P,ekholma01
Ryan Ellis,4,ca CA,D,26,10-May,180,R/-,5,January 3 1991,16 G 22 A 38 P,ellisry01
Kevin Fiala,56,ch CH,LW,20,10-May,204,L/-,2,July 22 1996,11 G 5 A 16 P,fialake01
Vernon Fiddler,83,ca CA,LW,36,11-May,205,L/-,13,May 9 1980,1 G 0 A 1 P,fiddlve01
Mike Fisher (C),12,ca CA,C,36,1-Jun,216,R/-,16,June 5 1980,18 G 24 A 42 P,fishemi01
Filip Forsberg,9,se SE,LW,22,1-Jun,205,R/-,4,August 13 1994,31 G 27 A 58 P,forsbfi01
Frédérick Gaudreau,32,ca CA,C,23,Jun-00,184,R/-,R,May 1 1993,0 G 1 A 1 P,gaudrfr01
Petter Granberg,8,se SE,D,24,3-Jun,200,R/-,3,August 27 1992,0 G 0 A 0 P,granbpe01
Derek Grant,27,ca CA,C,26,3-Jun,210,L/-,3,April 20 1990,0 G 1 A 1 P,grantde01
Brad Hunt,24,ca CA,D,28,9-May,177,L/-,3,August 24 1988,0 G 1 A 1 P,huntbr01
Matt Irwin,52,ca CA,D,29,2-Jun,200,L/-,4,November 29 1987,3 G 11 A 14 P,irwinma01
Calle Järnkrok,19,se SE,C,25,Jun-00,192,R/-,3,September 25 1991,15 G 16 A 31 P,jarnkca01
Ryan Johansen,92,ca CA,C,24,3-Jun,218,R/-,5,July 31 1992,14 G 47 A 61 P,johanry01
Roman Josi,59,ch CH,D,26,1-Jun,201,L/-,5,June 1 1990,12 G 37 A 49 P,josiro01
Vladislav Kamenev,50,ru RU,LW,20,2-Jun,194,L/-,R,August 12 1996,0 G 0 A 0 P,kamenvl01
Michael Liambas,17,ca CA,LW,27,10-May,195,L/-,R,February 16 1989,0 G 0 A 0 P,liambmi01
Marek Mazanec,39,cs CS,G,25,4-Jun,202,-/-,2,July 18 1991,0-2-0 4.73 GAA,mazanma01
Cody McLeod,55,ca CA,LW,32,2-Jun,204,L/-,9,June 26 1984,4 G 1 A 5 P,mcleoco01
James Neal,18,ca CA,RW,29,3-Jun,212,L/-,8,September 3 1987,23 G 18 A 41 P,nealja01
Adam Pardy,5,ca CA,D,32,4-Jun,227,L/-,8,March 29 1984,0 G 0 A 0 P,pardyad01
P.A. Parenteau,11,ca CA,RW,33,Jun-00,200,R/-,8,March 24 1983,0 G 1 A 1 P,parenpi01
Mike Ribeiro,63,ca CA,C,36,Jun-00,179,L/-,16,February 10 1980,4 G 21 A 25 P,ribeimi01
Pekka Rinne,35,fi FI,G,34,5-Jun,217,-/L,10,November 3 1982,31-19-9 2.42 GAA,rinnepe01
Miikka Salomäki,20,fi FI,RW,23,11-May,203,L/-,2,March 9 1993,0 G 0 A 0 P,salommi01
Juuse Saros,74,fi FI,G,21,11-May,180,-/L,1,April 19 1995,10-8-3 2.35 GAA,sarosju01
Colton Sissons,10,ca CA,C,23,1-Jun,200,R/-,2,November 5 1993,8 G 2 A 10 P,sissoco01
Craig Smith,15,us US,RW,27,1-Jun,203,R/-,5,September 5 1989,12 G 17 A 29 P,smithcr01
Trevor Smith,23,ca CA,C,31,1-Jun,195,L/-,5,February 8 1985,0 G 0 A 0 P,smithtr01
P.K. Subban,76,ca CA,D,27,Jun-00,210,R/-,7,May 13 1989,10 G 30 A 40 P,subbapk01
Austin Watson,51,us US,LW,25,4-Jun,238,R/-,2,January 13 1992,5 G 12 A 17 P,watsoau01
Yannick Weber,7,ch CH,D,28,11-May,200,R/-,8,September 23 1988,1 G 7 A 8 P,weberya01
Colin Wilson,33,us US,LW,27,1-Jun,215,L/-,7,October 20 1989,12 G 23 A 35 P,wilsoco01
Harry Zolnierczyk,26,ca CA,LW,29,11-May,180,L/-,5,September 1 1987,2 G 2 A 4 P,zolniha01
Justin Braun,61,us US,D,29,2-Jun,205,R/-,6,February 10 1987,4 G 9 A 13 P,braunju01
Brent Burns,88,ca CA,D,31,5-Jun,228,R/-,12,March 9 1985,29 G 47 A 76 P,burnsbr01
Mikkel Bødker,89,dk DK,LW,27,Jun-00,210,L/-,8,December 16 1989,10 G 16 A 26 P,boedkmi01
Ryan Carpenter,40,us US,C,26,1-Jun,198,R/-,1,January 18 1991,2 G 2 A 4 P,carpery01
Logan Couture,39,ca CA,C,27,1-Jun,206,L/-,7,March 28 1989,25 G 27 A 52 P,coutulo01
Aaron Dell,30,ca CA,G,27,Jun-00,213,-/L,R,May 4 1989,11-6-1 2.00 GAA,dellaa01
Dylan DeMelo,74,ca CA,D,23,1-Jun,194,R/-,1,May 1 1993,1 G 7 A 8 P,demeldy01
Brenden Dillon,4,ca CA,D,26,4-Jun,220,L/-,5,November 13 1990,2 G 8 A 10 P,dillobr01
Joonas Donskoi,27,fi FI,RW,24,Jun-00,185,R/-,1,April 13 1992,6 G 11 A 17 P,donskjo01
Nikolay Goldobin,82,ru RU,LW,21,11-May,196,L/-,1,October 7 1995,0 G 0 A 0 P,goldoni01
Barclay Goodrow,23,ca CA,RW,23,2-Jun,204,L/-,2,February 26 1993,0 G 1 A 1 P,goodrba01
Micheal Haley,38,ca CA,C,30,11-May,205,L/-,6,March 30 1986,2 G 10 A 12 P,haleymi01
Jannik Hansen,36,dk DK,RW,30,1-Jun,198,R/-,9,March 15 1986,2 G 5 A 7 P,hanseja01
Tim Heed,72,se SE,D,26,11-May,180,R/-,R,January 27 1991,0 G 0 A 0 P,heedti01
Tomáš Hertl,48,cz CZ,C,23,3-Jun,215,L/-,3,November 12 1993,10 G 12 A 22 P,hertlto01
Martin Jones,31,ca CA,G,27,5-Jun,203,-/L,3,January 10 1990,35-23-6 2.40 GAA,jonesma02
Melker Karlsson,68,se SE,C,26,Jun-00,180,R/-,2,July 18 1990,11 G 11 A 22 P,karlsme01
Kevin Labanc,62,us US,RW,21,11-May,185,R/-,R,December 12 1995,8 G 12 A 20 P,labanke01
Patrick Marleau,12,ca CA,LW,37,2-Jun,218,L/-,18,September 15 1979,27 G 19 A 46 P,marlepa01
Paul Martin,7,us US,D,35,1-Jun,200,L/-,12,March 5 1981,4 G 22 A 26 P,martipa01
Timo Meier,28,ch CH,RW,20,1-Jun,220,L/-,R,October 8 1996,3 G 3 A 6 P,meierti01
Mirco Müller,41,ch CH,D,21,3-Jun,210,L/-,2,March 21 1995,1 G 1 A 2 P,muellmi01
Matthew Nieto,83,us US,LW,24,11-May,185,L/-,3,November 5 1992,0 G 2 A 2 P,nietoma01
Danny O'Regan,65,de DE,C,23,10-May,180,R/-,R,January 30 1994,1 G 0 A 1 P,oregada01
Joe Pavelski (C),8,us US,C,32,11-May,200,R/-,10,July 11 1984,29 G 39 A 68 P,paveljo01
David Schlemko,5,ca CA,D,29,1-Jun,191,L/-,8,May 7 1987,2 G 16 A 18 P,schleda01
Marcus Sorensen,20,se SE,RW,24,11-May,175,L/-,R,April 7 1992,1 G 3 A 4 P,sorenma01
Joe Thornton,19,ca CA,C,37,4-Jun,220,L/-,18,July 2 1979,7 G 43 A 50 P,thornjo01
Chris Tierney,50,ca CA,C,22,1-Jun,191,L/-,2,July 1 1994,11 G 12 A 23 P,tiernch01
Marc-Édouard Vlasic,44,ca CA,D,29,1-Jun,205,L/-,10,March 30 1987,6 G 22 A 28 P,vlasima01
Joel Ward,42,ca CA,RW,36,1-Jun,225,R/-,9,December 2 1980,10 G 19 A 29 P,wardjo02
Tommy Wingels,57,us US,C,28,Jun-00,200,R/-,6,April 12 1988,5 G 3 A 8 P,wingeto01
